Name,Year,Population 0-14,Population 15-64,Population 65+,Population,Births,Deaths,Migrations,E.Migration
Antigua and Barbuda,2008,22942.0,55992.0,5553.0,84487,1417.0,540.0,204.0,-3.0
Antigua and Barbuda,2009,22913.0,56994.0,5665.0,85572,1420.0,536.0,204.0,-3.0
Antigua and Barbuda,2010,22821.0,58044.0,5799.0,86664,1424.0,532.0,204.0,-4.0
Antigua and Barbuda,2011,22631.0,59164.0,5969.0,87764,1430.0,530.0,204.0,-4.0
Antigua and Barbuda,2012,22396.0,60311.0,6165.0,88872,1438.0,529.0,204.0,-5.0
Antigua and Barbuda,2013,22220.0,61375.0,6395.0,89990,1446.0,528.0,204.0,-4.0
Antigua and Barbuda,2014,22125.0,62333.0,6657.0,91115,1453.0,529.0,204.0,-3.0
Antigua and Barbuda,2015,21943.0,63359.0,6944.0,92246,1462.0,530.0,204.0,-5.0
Antigua and Barbuda,2016,21746.0,64375.0,7266.0,93387,1474.0,533.0,204.0,-4.0
Antigua and Barbuda,2017,21753.0,65182.0,7602.0,94537,1485.0,536.0,204.0,-3.0
Antigua and Barbuda,2018,21832.0,65903.0,7958.0,95693,1493.0,539.0,204.0,-2.0
Antigua and Barbuda,2019,21884.0,66628.0,8340.0,96852,1499.0,545.0,204.0,1.0
Antigua and Barbuda,2020,21958.0,67302.0,8752.0,98012,1508.0,550.0,204.0,-2.0
Antigua and Barbuda,2021,22069.0,67904.0,9202.0,99175,1517.0,558.0,204.0,0.0
Antigua and Barbuda,2022,22188.0,68450.0,9697.0,100335,1521.0,567.0,204.0,2.0
Antigua and Barbuda,2023,22301.0,68950.0,10238.0,101489,1523.0,577.0,204.0,4.0
Aruba,1991,16787.0,44802.0,4715.0,66304,1279.0,458.0,2342.0,-38348.0
Aruba,1992,17455.0,47037.0,4986.0,69478,1292.0,485.0,2378.0,-11.0
Aruba,1993,18259.0,50415.0,5392.0,74066,1337.0,522.0,5177.0,-1404.0
Aruba,1994,18844.0,53235.0,5774.0,77853,1315.0,556.0,824.0,2204.0
Aruba,1995,19189.0,54745.0,6028.0,79962,1419.0,579.0,1795.0,-526.0
Aruba,1996,19657.0,57045.0,6368.0,83070,1452.0,611.0,2739.0,-472.0
Aruba,1997,20065.0,59407.0,6734.0,86206,1457.0,642.0,1877.0,444.0
Aruba,1998,20189.0,60985.0,7030.0,88204,1315.0,665.0,654.0,694.0
Aruba,1999,20090.0,61886.0,7283.0,89259,1253.0,681.0,232.0,251.0
Aruba,2000,19889.0,62579.0,7527.0,89995,1198.0,697.0,167.0,68.0
Aruba,2001,19746.0,63433.0,7790.0,90969,1197.0,700.0,784.0,-307.0
Aruba,2002,19676.0,64387.0,8103.0,92166,1202.0,706.0,617.0,84.0
Aruba,2003,19678.0,65566.0,8463.0,93707,1215.0,716.0,1471.0,-429.0
Aruba,2004,19722.0,66851.0,8871.0,95444,1233.0,728.0,1000.0,232.0
Aruba,2005,19732.0,67962.0,9257.0,96951,1248.0,740.0,1000.0,-1.0
Aruba,2006,19713.0,69100.0,9648.0,98461,1265.0,753.0,1000.0,-2.0
Aruba,2007,19693.0,70225.0,10058.0,99976,1282.0,766.0,1000.0,-1.0
Aruba,2008,19662.0,71371.0,10461.0,101494,1301.0,781.0,1000.0,-2.0
Aruba,2009,19658.0,72458.0,10898.0,103014,1318.0,796.0,1000.0,-2.0
Aruba,2010,19631.0,73545.0,11361.0,104537,1335.0,812.0,1000.0,0.0
Aruba,2011,19547.0,74667.0,11848.0,106062,1355.0,830.0,1000.0,0.0
Aruba,2012,19471.0,75736.0,12380.0,107587,1373.0,848.0,1000.0,0.0
Aruba,2013,19482.0,76684.0,12944.0,109110,1387.0,866.0,1000.0,2.0
Aruba,2014,19604.0,77462.0,13561.0,110627,1399.0,886.0,1000.0,4.0
Aruba,2015,19792.0,78134.0,14209.0,112135,1409.0,906.0,1000.0,5.0
Aruba,2016,20015.0,78737.0,14881.0,113633,1420.0,926.0,1000.0,4.0
Aruba,2017,20240.0,79290.0,15591.0,115121,1430.0,947.0,1000.0,5.0
Aruba,2018,20468.0,79777.0,16351.0,116596,1437.0,968.0,1000.0,6.0
Aruba,2019,20687.0,80223.0,17146.0,118056,1441.0,991.0,1000.0,10.0
Aruba,2020,20892.0,80637.0,17967.0,119496,1443.0,1013.0,1000.0,10.0
Aruba,2021,21080.0,81051.0,18786.0,120917,1445.0,1033.0,1000.0,9.0
Aruba,2022,21259.0,81423.0,19638.0,122320,1446.0,1054.0,1000.0,11.0
Aruba,2023,21422.0,81774.0,20506.0,123702,1446.0,1075.0,1000.0,11.0
Australia,1991,3723758.0,11348037.0,1912866.0,16984661,257247.0,119146.0,86432.0,16636426.0
Australia,1992,3758549.0,11480652.0,1962262.0,17201463,264151.0,123660.0,68580.0,7731.0
Australia,1993,3786437.0,11593714.0,2010183.0,17390334,260229.0,121599.0,30042.0,20199.0
Australia,1994,3809193.0,11701203.0,2053229.0,17563625,258051.0,126692.0,46549.0,-4617.0
Australia,1995,3832723.0,11829674.0,2095773.0,17758170,256190.0,125133.0,80125.0,-16637.0
Australia,1996,3853512.0,11985052.0,2139824.0,17978388,253834.0,128719.0,104137.0,-9034.0
Australia,1997,3866696.0,12158443.0,2172660.0,18197799,251842.0,129350.0,87079.0,9840.0
Australia,1998,3872228.0,12324949.0,2206196.0,18403373,249616.0,127202.0,79162.0,3998.0
Australia,1999,3879217.0,12494037.0,2239533.0,18612787,248870.0,128102.0,96483.0,-7837.0
Australia,2000,3889804.0,12676571.0,2269347.0,18835722,249636.0,128291.0,107275.0,-5685.0
Australia,2001,3902408.0,12859873.0,2314512.0,19076793,246394.0,128544.0,135673.0,-12452.0
Australia,2002,3907292.0,13049102.0,2361079.0,19317473,250988.0,133707.0,110556.0,12843.0
Australia,2003,3912705.0,13227317.0,2409053.0,19549075,251161.0,132292.0,116498.0,-3765.0
Australia,2004,3917633.0,13400262.0,2459716.0,19777611,254246.0,132508.0,99966.0,6832.0
Australia,2005,3921551.0,13576973.0,2516307.0,20014831,259688.0,130714.0,123763.0,-15517.0
Australia,2006,3933926.0,13763209.0,2580810.0,20277945,272670.0,133739.0,134560.0,-10377.0
Australia,2007,3968423.0,13997315.0,2644647.0,20610385,285213.0,137854.0,244030.0,-58949.0
Australia,2008,4028812.0,14300440.0,2711010.0,21040262,296621.0,143946.0,315690.0,-38488.0
Australia,2009,4094867.0,14586188.0,2794329.0,21475384,295738.0,140760.0,246900.0,33244.0
Australia,2010,4148157.0,14813177.0,2878229.0,21839563,297903.0,143473.0,172050.0,37699.0
Australia,2011,4203176.0,15005056.0,2974769.0,22183001,301617.0,146932.0,205710.0,-16957.0
Australia,2012,4270782.0,15184852.0,3107531.0,22563165,309582.0,147098.0,237450.0,-19770.0
Australia,2013,4341129.0,15376184.0,3229108.0,22946421,308065.0,147678.0,206190.0,16679.0
Australia,2014,4400630.0,15547799.0,3343714.0,23292143,299697.0,153580.0,178750.0,20855.0
Australia,2015,4454285.0,15704392.0,3459578.0,23618255,305377.0,159050.0,181030.0,-1245.0
Australia,2016,4519985.0,15881505.0,3578662.0,23980152,311104.0,158497.0,243830.0,-34540.0
Australia,2017,4588087.0,16086901.0,3695191.0,24370179,302756.0,160909.0,241770.0,6410.0
Australia,2018,4649054.0,16283308.0,3815644.0,24748006,307389.0,165018.0,229665.0,5791.0
Australia,2019,4709503.0,16473196.0,3931288.0,25113987,311503.0,169137.0,217560.0,6055.0
Australia,2020,4766518.0,16656600.0,4044588.0,25467706,315318.0,173262.0,205456.0,6207.0
Australia,2021,4815097.0,16826325.0,4168551.0,25809973,318718.0,175048.0,193350.0,5247.0
Australia,2022,4850955.0,17000510.0,4289904.0,26141369,321470.0,176944.0,181245.0,5625.0
Australia,2023,4875495.0,17170208.0,4415463.0,26461166,323640.0,178957.0,169140.0,5974.0
Austria,1991,1363347.0,5286226.0,1168850.0,7818423,94629.0,83428.0,87668.0,-18741612.0
Austria,1992,1386682.0,5347221.0,1181066.0,7914969,95302.0,83162.0,82084.0,2322.0
Austria,1993,1404577.0,5390647.0,1193375.0,7988599,95227.0,82517.0,40328.0,20592.0
Austria,1994,1413244.0,5408830.0,1205465.0,8027539,92415.0,80684.0,13113.0,14096.0
Austria,1995,1412541.0,5416875.0,1218016.0,8047432,88669.0,81171.0,7443.0,4952.0
Austria,1996,1404899.0,5426176.0,1229776.0,8060851,88809.0,80790.0,3880.0,1520.0
Austria,1997,1393870.0,5436871.0,1239134.0,8069875,84045.0,79432.0,1536.0,2875.0
Austria,1998,1382007.0,5450132.0,1246482.0,8078621,81233.0,78339.0,8450.0,-2598.0
Austria,1999,1371183.0,5470904.0,1252068.0,8094155,78138.0,78200.0,19786.0,-4190.0
Austria,2000,1360032.0,5496191.0,1257169.0,8113392,78268.0,76820.0,17302.0,487.0
Austria,2001,1349931.0,5527930.0,1263679.0,8141540,75458.0,74767.0,36856.0,-9399.0
Austria,2002,1341642.0,5565215.0,1271238.0,8178095,78399.0,76131.0,33294.0,993.0
Austria,2003,1333326.0,5600493.0,1281861.0,8215680,76944.0,77209.0,39873.0,-2023.0
Austria,2004,1326480.0,5625015.0,1311740.0,8263235,78968.0,74292.0,50826.0,-7947.0
Austria,2005,1319206.0,5635800.0,1359646.0,8314652,78190.0,75189.0,44332.0,4084.0
Austria,2006,1305983.0,5638952.0,1407245.0,8352180,77914.0,74295.0,24103.0,9806.0
Austria,2007,1287410.0,5649129.0,1443050.0,8379589,76250.0,74625.0,25470.0,314.0
Austria,2008,1268629.0,5667631.0,1470536.0,8406796,77752.0,75083.0,24650.0,-112.0
Austria,2009,1249849.0,5681594.0,1497021.0,8428464,76344.0,77381.0,17053.0,5652.0
Austria,2010,1234355.0,5700540.0,1513006.0,8447901,78742.0,77199.0,21316.0,-3422.0
Austria,2011,1222957.0,5725790.0,1526345.0,8475092,78109.0,77290.0,30705.0,-4333.0
Austria,2012,1215168.0,5745241.0,1552521.0,8512930,78952.0,78597.0,43797.0,-6314.0
Austria,2013,1212863.0,5764732.0,1584732.0,8562327,79758.0,79845.0,54728.0,-5244.0
Austria,2014,1214201.0,5788269.0,1612701.0,8615171,80643.0,81033.0,51435.0,1799.0
Austria,2015,1217191.0,5809473.0,1637778.0,8664442,81510.0,82155.0,48142.0,1774.0
Austria,2016,1221679.0,5827508.0,1660988.0,8710175,82346.0,83226.0,44849.0,1764.0
Austria,2017,1226693.0,5842182.0,1683485.0,8752360,83087.0,84244.0,41557.0,1785.0
Austria,2018,1231360.0,5853109.0,1706438.0,8790907,83659.0,85228.0,38264.0,1852.0
Austria,2019,1236173.0,5859801.0,1729670.0,8825644,84033.0,86225.0,34971.0,1958.0
Austria,2020,1240805.0,5859619.0,1755924.0,8856348,84213.0,87265.0,31678.0,2078.0
Austria,2021,1246279.0,5851027.0,1787558.0,8884864,84252.0,87526.0,31678.0,112.0
Austria,2022,1252738.0,5836952.0,1823398.0,8913088,84193.0,87826.0,31678.0,179.0
Austria,2023,1259059.0,5821289.0,1860512.0,8940860,83990.0,88171.0,31678.0,275.0
Bahrain,1991,168009.0,342438.0,12071.0,522518,13229.0,1906.0,5450.0,-8435115.0
Bahrain,1992,171222.0,354086.0,12712.0,538020,13885.0,1916.0,2261.0,1272.0
Bahrain,1993,173861.0,365398.0,13383.0,552642,14684.0,1931.0,2261.0,-392.0
Bahrain,1994,176693.0,376721.0,14087.0,567501,14382.0,1940.0,2261.0,156.0
Bahrain,1995,179263.0,388006.0,14799.0,582068,14112.0,1944.0,2261.0,138.0
Bahrain,1996,181804.0,399140.0,15522.0,596466,14061.0,1953.0,2261.0,29.0
Bahrain,1997,183619.0,410975.0,16251.0,610845,14096.0,1967.0,2261.0,-11.0
Bahrain,1998,185110.0,423125.0,16979.0,625214,14124.0,2038.0,2261.0,22.0
Bahrain,1999,186939.0,435301.0,17724.0,639964,14860.0,1967.0,2261.0,-404.0
Bahrain,2000,188641.0,447707.0,18514.0,654862,14379.0,1999.0,2261.0,257.0
Bahrain,2001,190125.0,462557.0,19406.0,672088,13925.0,2039.0,7925.0,-2585.0
Bahrain,2002,194360.0,499988.0,20484.0,714832,13953.0,2157.0,53883.0,-22935.0
Bahrain,2003,201407.0,557945.0,21655.0,781007,15018.0,2291.0,53944.0,-496.0
Bahrain,2004,208563.0,616703.0,22860.0,848126,15566.0,2427.0,54429.0,-449.0
Bahrain,2005,215391.0,676475.0,24102.0,915968,15625.0,2502.0,54994.0,-275.0
Bahrain,2006,222002.0,736983.0,25409.0,984394,15159.0,2577.0,56153.0,-309.0
Bahrain,2007,228664.0,798142.0,26775.0,1053581,16477.0,2627.0,55789.0,-452.0
Bahrain,2008,234639.0,844479.0,28177.0,1107295,17022.0,2824.0,23590.0,15926.0
Bahrain,2009,239549.0,875442.0,29380.0,1144371,17300.0,2942.0,22009.0,709.0
Bahrain,2010,244130.0,905635.0,30322.0,1180087,17545.0,3052.0,20570.0,653.0
Bahrain,2011,248350.0,934987.0,31366.0,1214703,17776.0,3160.0,19555.0,445.0
Bahrain,2012,252166.0,963484.0,32684.0,1248334,17965.0,3271.0,18395.0,542.0
Bahrain,2013,255708.0,991375.0,34214.0,1281297,18117.0,3382.0,18100.0,128.0
Bahrain,2014,258826.0,1019408.0,35789.0,1314023,18246.0,3496.0,17867.0,109.0
Bahrain,2015,261722.0,1047213.0,37574.0,1346509,18343.0,3612.0,17624.0,131.0
Bahrain,2016,264974.0,1074138.0,39643.0,1378755,18515.0,3731.0,17354.0,108.0
Bahrain,2017,268335.0,1100348.0,42063.0,1410746,18669.0,3852.0,17027.0,147.0
Bahrain,2018,271438.0,1126156.0,44821.0,1442415,18801.0,3976.0,16668.0,176.0
Bahrain,2019,274010.0,1151836.0,47878.0,1473724,18912.0,4099.0,16311.0,185.0
Bahrain,2020,276543.0,1176973.0,51149.0,1504665,18987.0,4227.0,15998.0,183.0
Bahrain,2021,278900.0,1193407.0,54622.0,1526929,19081.0,4295.0,-1016.0,8494.0
Bahrain,2022,280666.0,1201495.0,58397.0,1540558,19102.0,4346.0,-1269.0,142.0
Bahrain,2023,281949.0,1209387.0,62550.0,1553886,19113.0,4399.0,-1545.0,159.0
Barbados,1991,64926.0,171502.0,27121.0,263549,4619.0,2355.0,-1084.0,-1291517.0
Barbados,1992,64718.0,173188.0,26952.0,264858,4514.0,2424.0,-653.0,-128.0
Barbados,1993,64439.0,174842.0,26732.0,266013,4124.0,2467.0,-785.0,283.0
Barbados,1994,64040.0,176485.0,26488.0,267013,3868.0,2434.0,-306.0,-128.0
Barbados,1995,63735.0,178171.0,26225.0,268131,3788.0,2505.0,-177.0,12.0
Barbados,1996,63176.0,180233.0,25964.0,269373,3839.0,2374.0,-87.0,-136.0
Barbados,1997,62414.0,182588.0,25747.0,270749,3820.0,2359.0,-87.0,2.0
Barbados,1998,61548.0,185033.0,25544.0,272125,3801.0,2337.0,-87.0,-1.0
Barbados,1999,60807.0,187328.0,25368.0,273503,3781.0,2314.0,-87.0,-2.0
Barbados,2000,60150.0,189498.0,25232.0,274880,3762.0,2302.0,-87.0,4.0
Barbados,2001,59556.0,191592.0,25160.0,276308,3787.0,2216.0,-87.0,-56.0
Barbados,2002,59201.0,193472.0,25176.0,277849,3812.0,2127.0,-87.0,-57.0
Barbados,2003,58990.0,195154.0,25284.0,279428,3777.0,2129.0,-87.0,18.0
Barbados,2004,58635.0,196897.0,25437.0,280969,3741.0,2132.0,-87.0,19.0
Barbados,2005,57937.0,198873.0,25667.0,282477,3716.0,2134.0,-87.0,13.0
Barbados,2006,57055.0,200934.0,25973.0,283962,3700.0,2138.0,-87.0,10.0
Barbados,2007,56231.0,202840.0,26352.0,285423,3678.0,2144.0,-87.0,14.0
Barbados,2008,55601.0,204447.0,26803.0,286851,3647.0,2150.0,-87.0,18.0
Barbados,2009,55244.0,205678.0,27320.0,288242,3615.0,2156.0,-87.0,19.0
Barbados,2010,55034.0,206659.0,27906.0,289599,3593.0,2165.0,-87.0,16.0
Barbados,2011,54820.0,207565.0,28541.0,290926,3574.0,2175.0,-87.0,15.0
Barbados,2012,54562.0,208420.0,29239.0,292221,3553.0,2188.0,-87.0,17.0
Barbados,2013,54307.0,209125.0,30048.0,293480,3529.0,2201.0,-87.0,18.0
Barbados,2014,54048.0,209615.0,31037.0,294700,3503.0,2217.0,-87.0,21.0
Barbados,2015,53782.0,209848.0,32248.0,295878,3478.0,2235.0,-87.0,22.0
Barbados,2016,53478.0,209848.0,33683.0,297009,3446.0,2255.0,-87.0,27.0
Barbados,2017,53125.0,209644.0,35317.0,298086,3416.0,2279.0,-87.0,27.0
Barbados,2018,52753.0,209228.0,37129.0,299110,3390.0,2305.0,-87.0,26.0
Barbados,2019,52392.0,208627.0,39063.0,300082,3367.0,2333.0,-87.0,25.0
Barbados,2020,52039.0,207875.0,41087.0,301001,3342.0,2364.0,-87.0,28.0
Barbados,2021,51670.0,207018.0,43177.0,301865,3309.0,2385.0,-87.0,27.0
Barbados,2022,51297.0,206047.0,45330.0,302674,3279.0,2410.0,-87.0,27.0
Barbados,2023,50921.0,204998.0,47512.0,303431,3257.0,2438.0,-87.0,25.0
Belgium,1991,1816267.0,6674976.0,1513244.0,10004487,125924.0,104223.0,14146.0,9665209.0
Belgium,1992,1825325.0,6682105.0,1538192.0,10045622,124774.0,103741.0,25389.0,-5287.0
Belgium,1993,1829968.0,6693838.0,1561620.0,10085426,120848.0,106601.0,18938.0,6619.0
Belgium,1994,1829111.0,6708038.0,1585765.0,10122914,115783.0,103566.0,29575.0,-4304.0
Belgium,1995,1823637.0,6718295.0,1613527.0,10155459,114684.0,104765.0,13379.0,9247.0
Belgium,1996,1815929.0,6720619.0,1642386.0,10178934,115214.0,104276.0,12714.0,-177.0
Belgium,1997,1809076.0,6721227.0,1669484.0,10199787,115864.0,103851.0,6041.0,2799.0
Belgium,1998,1803986.0,6720633.0,1692411.0,10217030,114276.0,104583.0,6740.0,810.0
Belgium,1999,1800329.0,6724067.0,1711259.0,10235655,113469.0,104904.0,12252.0,-2192.0
Belgium,2000,1798884.0,6736484.0,1728250.0,10263618,114883.0,104903.0,25130.0,-7147.0
Belgium,2001,1795662.0,6752070.0,1744697.0,10292429,113249.0,103447.0,12709.0,6300.0
Belgium,2002,1791056.0,6773886.0,1761417.0,10326359,113094.0,105642.0,37896.0,-11418.0
Belgium,2003,1786884.0,6803026.0,1778940.0,10368850,114005.0,107039.0,32668.0,2857.0
Belgium,2004,1782703.0,6832249.0,1798395.0,10413347,117277.0,101256.0,33340.0,-4864.0
Belgium,2005,1781130.0,6874488.0,1813533.0,10469151,119622.0,103278.0,45902.0,-6442.0
Belgium,2006,1781613.0,6934390.0,1819511.0,10535514,122529.0,101587.0,49538.0,-4117.0
Belgium,2007,1783687.0,7001025.0,1825442.0,10610154,124095.0,100658.0,55364.0,-4161.0
Belgium,2008,1791389.0,7061678.0,1839733.0,10692800,127203.0,104587.0,63875.0,-3845.0
Belgium,2009,1805419.0,7111332.0,1860866.0,10777617,127196.0,104509.0,60456.0,1674.0
Belgium,2010,1826343.0,7155361.0,1884017.0,10865721,128950.0,105152.0,69268.0,-4962.0
Belgium,2011,1850878.0,7195384.0,1916285.0,10962547,127655.0,104292.0,77223.0,-3760.0
Belgium,2012,1872698.0,7229797.0,1955637.0,11058132,126993.0,109076.0,72667.0,5001.0
Belgium,2013,1892936.0,7262291.0,1992332.0,11147559,127726.0,110045.0,70588.0,1158.0
Belgium,2014,1913845.0,7293435.0,2027381.0,11234661,128370.0,110942.0,68509.0,1165.0
Belgium,2015,1933282.0,7325139.0,2061020.0,11319441,128944.0,111750.0,66428.0,1158.0
Belgium,2016,1952057.0,7356366.0,2093482.0,11401905,129437.0,112481.0,64349.0,1159.0
Belgium,2017,1971240.0,7383425.0,2127394.0,11482059,129820.0,113086.0,62270.0,1150.0
Belgium,2018,1988950.0,7407541.0,2163402.0,11559893,130078.0,113603.0,60191.0,1168.0
Belgium,2019,2003984.0,7430606.0,2200731.0,11635321,130157.0,114077.0,58110.0,1238.0
Belgium,2020,2015842.0,7452185.0,2240208.0,11708235,130105.0,114497.0,56031.0,1275.0
Belgium,2021,2023731.0,7473275.0,2281836.0,11778842,129953.0,114330.0,53952.0,1032.0
Belgium,2022,2027877.0,7493917.0,2325544.0,11847338,129707.0,114162.0,51873.0,1078.0
Belgium,2023,2029209.0,7512608.0,2371816.0,11913633,129414.0,114035.0,49794.0,1122.0
Bermuda,1991,11477.0,41298.0,5320.0,58095,907.0,452.0,159.0,-11856152.0
Bermuda,1992,11683.0,41558.0,5469.0,58710,901.0,444.0,160.0,-2.0
Bermuda,1993,11853.0,41791.0,5624.0,59268,819.0,480.0,161.0,58.0
Bermuda,1994,11986.0,42010.0,5790.0,59786,834.0,462.0,162.0,-16.0
Bermuda,1995,12119.0,42236.0,5986.0,60341,836.0,423.0,162.0,-20.0
Bermuda,1996,12244.0,42473.0,6212.0,60929,851.0,414.0,164.0,-13.0
Bermuda,1997,12356.0,42714.0,6452.0,61522,858.0,437.0,165.0,7.0
Bermuda,1998,12431.0,42948.0,6677.0,62056,822.0,505.0,166.0,51.0
Bermuda,1999,12477.0,43191.0,6918.0,62586,836.0,427.0,167.0,-46.0
Bermuda,2000,12521.0,43452.0,7167.0,63140,836.0,473.0,168.0,23.0
Bermuda,2001,12555.0,43729.0,7402.0,63686,833.0,442.0,169.0,-14.0
Bermuda,2002,12593.0,44023.0,7648.0,64264,833.0,404.0,167.0,-18.0
Bermuda,2003,12630.0,44320.0,7897.0,64847,839.0,434.0,165.0,13.0
Bermuda,2004,12677.0,44605.0,8145.0,65427,834.0,406.0,163.0,-11.0
Bermuda,2005,12710.0,44878.0,8414.0,66002,837.0,437.0,161.0,14.0
Bermuda,2006,12687.0,45148.0,8695.0,66530,798.0,461.0,157.0,34.0
Bermuda,2007,12584.0,45432.0,8998.0,67014,792.0,473.0,155.0,10.0
Bermuda,2008,12521.0,45635.0,9322.0,67478,787.0,487.0,153.0,11.0
Bermuda,2009,12481.0,45780.0,9661.0,67922,784.0,500.0,150.0,10.0
Bermuda,2010,12431.0,45902.0,10014.0,68347,783.0,512.0,147.0,7.0
Bermuda,2011,12367.0,46021.0,10369.0,68757,784.0,525.0,145.0,6.0
Bermuda,2012,12298.0,46116.0,10740.0,69154,787.0,538.0,141.0,7.0
Bermuda,2013,12241.0,46187.0,11109.0,69537,789.0,551.0,138.0,7.0
Bermuda,2014,12201.0,46211.0,11494.0,69906,791.0,564.0,135.0,7.0
Bermuda,2015,12154.0,46207.0,11899.0,70260,793.0,578.0,132.0,7.0
Bermuda,2016,12107.0,46176.0,12318.0,70601,796.0,591.0,128.0,8.0
Bermuda,2017,12074.0,46093.0,12761.0,70928,799.0,604.0,125.0,7.0
Bermuda,2018,12032.0,45990.0,13218.0,71240,800.0,617.0,122.0,7.0
Bermuda,2019,11992.0,45854.0,13691.0,71537,800.0,629.0,118.0,8.0
Bermuda,2020,11953.0,45670.0,14195.0,71818,800.0,643.0,115.0,9.0
Bermuda,2021,11932.0,45416.0,14736.0,72084,800.0,651.0,111.0,6.0
Bermuda,2022,11936.0,45105.0,15296.0,72337,798.0,659.0,108.0,6.0
