Year,Name,Population 0-14,Population 15-64,Population 65+,Births,Deaths,Migrations
2009-01-01,Australia,4094867.0,14586188.0,2794329.0,297903.0,143473.0,209749.0
2010-01-01,Australia,4148157.0,14813177.0,2878229.0,301617.0,146932.0,188753.0
2011-01-01,Australia,4203176.0,15005056.0,2974769.0,309582.0,147098.0,217680.0
2012-01-01,Australia,4270782.0,15184852.0,3107531.0,308065.0,147678.0,222869.0
2013-01-01,Australia,4341129.0,15376184.0,3229108.0,299697.0,153580.0,199605.0
2014-01-01,Australia,4400630.0,15547799.0,3343714.0,305377.0,159050.0,179785.0
2015-01-01,Australia,4454285.0,15704392.0,3459578.0,311104.0,158497.0,209290.0
2016-01-01,Australia,4519985.0,15881505.0,3578662.0,302756.0,160909.0,248180.0
2017-01-01,Australia,4588087.0,16086901.0,3695191.0,307389.0,165018.0,235456.0
2018-01-01,Australia,4649054.0,16283308.0,3815644.0,311503.0,169137.0,223615.0
2019-01-01,Australia,4709503.0,16473196.0,3931288.0,315318.0,173262.0,211663.0
2020-01-01,Australia,4766518.0,16656600.0,4044588.0,318718.0,175048.0,198597.0
2021-01-01,Australia,4815097.0,16826325.0,4168551.0,321470.0,176944.0,186870.0
2022-01-01,Australia,4850955.0,17000510.0,4289904.0,323640.0,178957.0,175114.0
1991-01-01,Austria,1363347.0,5286226.0,1168850.0,95302.0,83162.0,84406.0
1992-01-01,Austria,1386682.0,5347221.0,1181066.0,95227.0,82517.0,60920.0
1993-01-01,Austria,1404577.0,5390647.0,1193375.0,92415.0,80684.0,27209.0
1994-01-01,Austria,1413244.0,5408830.0,1205465.0,88669.0,81171.0,12395.0
1995-01-01,Austria,1412541.0,5416875.0,1218016.0,88809.0,80790.0,5400.0
1996-01-01,Austria,1404899.0,5426176.0,1229776.0,84045.0,79432.0,4411.0
1997-01-01,Austria,1393870.0,5436871.0,1239134.0,81233.0,78339.0,5852.0
1998-01-01,Austria,1382007.0,5450132.0,1246482.0,78138.0,78200.0,15596.0
1999-01-01,Austria,1371183.0,5470904.0,1252068.0,78268.0,76820.0,17789.0
2000-01-01,Austria,1360032.0,5496191.0,1257169.0,75458.0,74767.0,27457.0
2001-01-01,Austria,1349931.0,5527930.0,1263679.0,78399.0,76131.0,34287.0
2002-01-01,Austria,1341642.0,5565215.0,1271238.0,76944.0,77209.0,37850.0
2003-01-01,Austria,1333326.0,5600493.0,1281861.0,78968.0,74292.0,42879.0
2004-01-01,Austria,1326480.0,5625015.0,1311740.0,78190.0,75189.0,48416.0
2005-01-01,Austria,1319206.0,5635800.0,1359646.0,77914.0,74295.0,33909.0
2006-01-01,Austria,1305983.0,5638952.0,1407245.0,76250.0,74625.0,25784.0
2007-01-01,Austria,1287410.0,5649129.0,1443050.0,77752.0,75083.0,24538.0
2008-01-01,Austria,1268629.0,5667631.0,1470536.0,76344.0,77381.0,22705.0
2009-01-01,Austria,1249849.0,5681594.0,1497021.0,78742.0,77199.0,17894.0
2010-01-01,Austria,1234355.0,5700540.0,1513006.0,78109.0,77290.0,26372.0
2011-01-01,Austria,1222957.0,5725790.0,1526345.0,78952.0,78597.0,37483.0
2012-01-01,Austria,1215168.0,5745241.0,1552521.0,79758.0,79845.0,49484.0
2013-01-01,Austria,1212863.0,5764732.0,1584732.0,80643.0,81033.0,53234.0
2014-01-01,Austria,1214201.0,5788269.0,1612701.0,81510.0,82155.0,49916.0
2015-01-01,Austria,1217191.0,5809473.0,1637778.0,82346.0,83226.0,46613.0
2016-01-01,Austria,1221679.0,5827508.0,1660988.0,83087.0,84244.0,43342.0
2017-01-01,Austria,1226693.0,5842182.0,1683485.0,83659.0,85228.0,40116.0
2018-01-01,Austria,1231360.0,5853109.0,1706438.0,84033.0,86225.0,36929.0
2019-01-01,Austria,1236173.0,5859801.0,1729670.0,84213.0,87265.0,33756.0
2020-01-01,Austria,1240805.0,5859619.0,1755924.0,84252.0,87526.0,31790.0
2021-01-01,Austria,1246279.0,5851027.0,1787558.0,84193.0,87826.0,31857.0
2022-01-01,Austria,1252738.0,5836952.0,1823398.0,83990.0,88171.0,31953.0
1991-01-01,Bahrain,168009.0,342438.0,12071.0,13885.0,1916.0,3533.0
1992-01-01,Bahrain,171222.0,354086.0,12712.0,14684.0,1931.0,1869.0
1993-01-01,Bahrain,173861.0,365398.0,13383.0,14382.0,1940.0,2417.0
1994-01-01,Bahrain,176693.0,376721.0,14087.0,14112.0,1944.0,2399.0
1995-01-01,Bahrain,179263.0,388006.0,14799.0,14061.0,1953.0,2290.0
1996-01-01,Bahrain,181804.0,399140.0,15522.0,14096.0,1967.0,2250.0
1997-01-01,Bahrain,183619.0,410975.0,16251.0,14124.0,2038.0,2283.0
1998-01-01,Bahrain,185110.0,423125.0,16979.0,14860.0,1967.0,1857.0
1999-01-01,Bahrain,186939.0,435301.0,17724.0,14379.0,1999.0,2518.0
2000-01-01,Bahrain,188641.0,447707.0,18514.0,13925.0,2039.0,5340.0
2001-01-01,Bahrain,190125.0,462557.0,19406.0,13953.0,2157.0,30948.0
2002-01-01,Bahrain,194360.0,499988.0,20484.0,15018.0,2291.0,53448.0
2003-01-01,Bahrain,201407.0,557945.0,21655.0,15566.0,2427.0,53980.0
2004-01-01,Bahrain,208563.0,616703.0,22860.0,15625.0,2502.0,54719.0
2005-01-01,Bahrain,215391.0,676475.0,24102.0,15159.0,2577.0,55844.0
2006-01-01,Bahrain,222002.0,736983.0,25409.0,16477.0,2627.0,55337.0
2007-01-01,Bahrain,228664.0,798142.0,26775.0,17022.0,2824.0,39516.0
2008-01-01,Bahrain,234639.0,844479.0,28177.0,17300.0,2942.0,22718.0
2009-01-01,Bahrain,239549.0,875442.0,29380.0,17545.0,3052.0,21223.0
2010-01-01,Bahrain,244130.0,905635.0,30322.0,17776.0,3160.0,20000.0
2011-01-01,Bahrain,248350.0,934987.0,31366.0,17965.0,3271.0,18937.0
2012-01-01,Bahrain,252166.0,963484.0,32684.0,18117.0,3382.0,18228.0
2013-01-01,Bahrain,255708.0,991375.0,34214.0,18246.0,3496.0,17976.0
2014-01-01,Bahrain,258826.0,1019408.0,35789.0,18343.0,3612.0,17755.0
2015-01-01,Bahrain,261722.0,1047213.0,37574.0,18515.0,3731.0,17462.0
2016-01-01,Bahrain,264974.0,1074138.0,39643.0,18669.0,3852.0,17174.0
2017-01-01,Bahrain,268335.0,1100348.0,42063.0,18801.0,3976.0,16844.0
2018-01-01,Bahrain,271438.0,1126156.0,44821.0,18912.0,4099.0,16496.0
2019-01-01,Bahrain,274010.0,1151836.0,47878.0,18987.0,4227.0,16181.0
2020-01-01,Bahrain,276543.0,1176973.0,51149.0,19081.0,4295.0,7478.0
2021-01-01,Bahrain,278900.0,1193407.0,54622.0,19102.0,4346.0,-1127.0
2022-01-01,Bahrain,280666.0,1201495.0,58397.0,19113.0,4399.0,-1386.0
1991-01-01,Barbados,64926.0,171502.0,27121.0,4514.0,2424.0,-781.0
1992-01-01,Barbados,64718.0,173188.0,26952.0,4124.0,2467.0,-502.0
1993-01-01,Barbados,64439.0,174842.0,26732.0,3868.0,2434.0,-434.0
1994-01-01,Barbados,64040.0,176485.0,26488.0,3788.0,2505.0,-165.0
1995-01-01,Barbados,63735.0,178171.0,26225.0,3839.0,2374.0,-223.0
1996-01-01,Barbados,63176.0,180233.0,25964.0,3820.0,2359.0,-85.0
1997-01-01,Barbados,62414.0,182588.0,25747.0,3801.0,2337.0,-88.0
1998-01-01,Barbados,61548.0,185033.0,25544.0,3781.0,2314.0,-89.0
1999-01-01,Barbados,60807.0,187328.0,25368.0,3762.0,2302.0,-83.0
2000-01-01,Barbados,60150.0,189498.0,25232.0,3787.0,2216.0,-143.0
2001-01-01,Barbados,59556.0,191592.0,25160.0,3812.0,2127.0,-144.0
2002-01-01,Barbados,59201.0,193472.0,25176.0,3777.0,2129.0,-69.0
2003-01-01,Barbados,58990.0,195154.0,25284.0,3741.0,2132.0,-68.0
2004-01-01,Barbados,58635.0,196897.0,25437.0,3716.0,2134.0,-74.0
2005-01-01,Barbados,57937.0,198873.0,25667.0,3700.0,2138.0,-77.0
2006-01-01,Barbados,57055.0,200934.0,25973.0,3678.0,2144.0,-73.0
2007-01-01,Barbados,56231.0,202840.0,26352.0,3647.0,2150.0,-69.0
2008-01-01,Barbados,55601.0,204447.0,26803.0,3615.0,2156.0,-68.0
2009-01-01,Barbados,55244.0,205678.0,27320.0,3593.0,2165.0,-71.0
2010-01-01,Barbados,55034.0,206659.0,27906.0,3574.0,2175.0,-72.0
2011-01-01,Barbados,54820.0,207565.0,28541.0,3553.0,2188.0,-70.0
2012-01-01,Barbados,54562.0,208420.0,29239.0,3529.0,2201.0,-69.0
2013-01-01,Barbados,54307.0,209125.0,30048.0,3503.0,2217.0,-66.0
2014-01-01,Barbados,54048.0,209615.0,31037.0,3478.0,2235.0,-65.0
2015-01-01,Barbados,53782.0,209848.0,32248.0,3446.0,2255.0,-60.0
2016-01-01,Barbados,53478.0,209848.0,33683.0,3416.0,2279.0,-60.0
2017-01-01,Barbados,53125.0,209644.0,35317.0,3390.0,2305.0,-61.0
2018-01-01,Barbados,52753.0,209228.0,37129.0,3367.0,2333.0,-62.0
2019-01-01,Barbados,52392.0,208627.0,39063.0,3342.0,2364.0,-59.0
2020-01-01,Barbados,52039.0,207875.0,41087.0,3309.0,2385.0,-60.0
2021-01-01,Barbados,51670.0,207018.0,43177.0,3279.0,2410.0,-60.0
2022-01-01,Barbados,51297.0,206047.0,45330.0,3257.0,2438.0,-62.0
1991-01-01,Belgium,1816267.0,6674976.0,1513244.0,124774.0,103741.0,20102.0
1992-01-01,Belgium,1825325.0,6682105.0,1538192.0,120848.0,106601.0,25557.0
1993-01-01,Belgium,1829968.0,6693838.0,1561620.0,115783.0,103566.0,25271.0
1994-01-01,Belgium,1829111.0,6708038.0,1585765.0,114684.0,104765.0,22626.0
1995-01-01,Belgium,1823637.0,6718295.0,1613527.0,115214.0,104276.0,12537.0
1996-01-01,Belgium,1815929.0,6720619.0,1642386.0,115864.0,103851.0,8840.0
1997-01-01,Belgium,1809076.0,6721227.0,1669484.0,114276.0,104583.0,7550.0
1998-01-01,Belgium,1803986.0,6720633.0,1692411.0,113469.0,104904.0,10060.0
1999-01-01,Belgium,1800329.0,6724067.0,1711259.0,114883.0,104903.0,17983.0
2000-01-01,Belgium,1798884.0,6736484.0,1728250.0,113249.0,103447.0,19009.0
2001-01-01,Belgium,1795662.0,6752070.0,1744697.0,113094.0,105642.0,26478.0
2002-01-01,Belgium,1791056.0,6773886.0,1761417.0,114005.0,107039.0,35525.0
2003-01-01,Belgium,1786884.0,6803026.0,1778940.0,117277.0,101256.0,28476.0
2004-01-01,Belgium,1782703.0,6832249.0,1798395.0,119622.0,103278.0,39460.0
2005-01-01,Belgium,1781130.0,6874488.0,1813533.0,122529.0,101587.0,45421.0
2006-01-01,Belgium,1781613.0,6934390.0,1819511.0,124095.0,100658.0,51203.0
2007-01-01,Belgium,1783687.0,7001025.0,1825442.0,127203.0,104587.0,60030.0
2008-01-01,Belgium,1791389.0,7061678.0,1839733.0,127196.0,104509.0,62130.0
2009-01-01,Belgium,1805419.0,7111332.0,1860866.0,128950.0,105152.0,64306.0
2010-01-01,Belgium,1826343.0,7155361.0,1884017.0,127655.0,104292.0,73463.0
2011-01-01,Belgium,1850878.0,7195384.0,1916285.0,126993.0,109076.0,77668.0
2012-01-01,Belgium,1872698.0,7229797.0,1955637.0,127726.0,110045.0,71746.0
2013-01-01,Belgium,1892936.0,7262291.0,1992332.0,128370.0,110942.0,69674.0
2014-01-01,Belgium,1913845.0,7293435.0,2027381.0,128944.0,111750.0,67586.0
2015-01-01,Belgium,1933282.0,7325139.0,2061020.0,129437.0,112481.0,65508.0
2016-01-01,Belgium,1952057.0,7356366.0,2093482.0,129820.0,113086.0,63420.0
2017-01-01,Belgium,1971240.0,7383425.0,2127394.0,130078.0,113603.0,61359.0
2018-01-01,Belgium,1988950.0,7407541.0,2163402.0,130157.0,114077.0,59348.0
2019-01-01,Belgium,2003984.0,7430606.0,2200731.0,130105.0,114497.0,57306.0
2020-01-01,Belgium,2015842.0,7452185.0,2240208.0,129953.0,114330.0,54984.0
2021-01-01,Belgium,2023731.0,7473275.0,2281836.0,129707.0,114162.0,52951.0
2022-01-01,Belgium,2027877.0,7493917.0,2325544.0,129414.0,114035.0,50916.0
1991-01-01,Bermuda,11477.0,41298.0,5320.0,901.0,444.0,158.0
1992-01-01,Bermuda,11683.0,41558.0,5469.0,819.0,480.0,219.0
1993-01-01,Bermuda,11853.0,41791.0,5624.0,834.0,462.0,146.0
1994-01-01,Bermuda,11986.0,42010.0,5790.0,836.0,423.0,142.0
1995-01-01,Bermuda,12119.0,42236.0,5986.0,851.0,414.0,151.0
1996-01-01,Bermuda,12244.0,42473.0,6212.0,858.0,437.0,172.0
1997-01-01,Bermuda,12356.0,42714.0,6452.0,822.0,505.0,217.0
1998-01-01,Bermuda,12431.0,42948.0,6677.0,836.0,427.0,121.0
1999-01-01,Bermuda,12477.0,43191.0,6918.0,836.0,473.0,191.0
2000-01-01,Bermuda,12521.0,43452.0,7167.0,833.0,442.0,155.0
2001-01-01,Bermuda,12555.0,43729.0,7402.0,833.0,404.0,149.0
2002-01-01,Bermuda,12593.0,44023.0,7648.0,839.0,434.0,178.0
2003-01-01,Bermuda,12630.0,44320.0,7897.0,834.0,406.0,152.0
2004-01-01,Bermuda,12677.0,44605.0,8145.0,837.0,437.0,175.0
2005-01-01,Bermuda,12710.0,44878.0,8414.0,798.0,461.0,191.0
2006-01-01,Bermuda,12687.0,45148.0,8695.0,792.0,473.0,165.0
2007-01-01,Bermuda,12584.0,45432.0,8998.0,787.0,487.0,164.0
2008-01-01,Bermuda,12521.0,45635.0,9322.0,784.0,500.0,160.0
2009-01-01,Bermuda,12481.0,45780.0,9661.0,783.0,512.0,154.0
2010-01-01,Bermuda,12431.0,45902.0,10014.0,784.0,525.0,151.0
2011-01-01,Bermuda,12367.0,46021.0,10369.0,787.0,538.0,148.0
2012-01-01,Bermuda,12298.0,46116.0,10740.0,789.0,551.0,145.0
2013-01-01,Bermuda,12241.0,46187.0,11109.0,791.0,564.0,142.0
2014-01-01,Bermuda,12201.0,46211.0,11494.0,793.0,578.0,139.0
2015-01-01,Bermuda,12154.0,46207.0,11899.0,796.0,591.0,136.0
2016-01-01,Bermuda,12107.0,46176.0,12318.0,799.0,604.0,132.0
2017-01-01,Bermuda,12074.0,46093.0,12761.0,800.0,617.0,129.0
2018-01-01,Bermuda,12032.0,45990.0,13218.0,800.0,629.0,126.0
2019-01-01,Bermuda,11992.0,45854.0,13691.0,800.0,643.0,124.0
2020-01-01,Bermuda,11953.0,45670.0,14195.0,800.0,651.0,117.0
2021-01-01,Bermuda,11932.0,45416.0,14736.0,798.0,659.0,114.0
2022-01-01,Bermuda,11936.0,45105.0,15296.0,796.0,668.0,111.0
1991-01-01,Canada,5819400.0,19087500.0,3211000.0,398642.0,196535.0,224885.0
1992-01-01,Canada,5898058.0,19333485.0,3313349.0,388394.0,204912.0,224962.0
1993-01-01,Canada,5958847.0,19571416.0,3423073.0,385112.0,211535.0,203897.0
1994-01-01,Canada,5999551.0,19809379.0,3521880.0,378011.0,210733.0,192441.0
1995-01-01,Canada,6020801.0,20046727.0,3623001.0,375680.0,212859.0,172974.0
1996-01-01,Canada,6026537.0,20277316.0,3722471.0,327765.0,215640.0,167153.0
1997-01-01,Canada,5998215.0,20493326.0,3814061.0,342343.0,218089.0,121804.0
1998-01-01,Canada,5949319.0,20705196.0,3897145.0,337968.0,219529.0,150157.0
1999-01-01,Canada,5906491.0,20940556.0,3973209.0,327765.0,218055.0,169594.0
2000-01-01,Canada,5855431.0,21189689.0,4054440.0,333717.0,219535.0,162993.0
2001-01-01,Canada,5801310.0,21436797.0,4138628.0,328784.0,223600.0,159042.0
2002-01-01,Canada,5751599.0,21672800.0,4216562.0,335138.0,226169.0,139378.0
2003-01-01,Canada,5703315.0,21889422.0,4296571.0,336936.0,226584.0,135101.0
2004-01-01,Canada,5647581.0,22104024.0,4383156.0,342176.0,230132.0,143766.0
2005-01-01,Canada,5579734.0,22336066.0,4474771.0,354617.0,238617.0,167509.0
2006-01-01,Canada,5526085.0,22569697.0,4578298.0,367864.0,235217.0,199224.0
2007-01-01,Canada,5510427.0,22812612.0,4682912.0,377886.0,238617.0,247823.0
2008-01-01,Canada,5543003.0,23051407.0,4798633.0,380863.0,240612.0,269279.0
2009-01-01,Canada,5588040.0,23295182.0,4919351.0,375694.0,242607.0,265223.0
2010-01-01,Canada,5630622.0,23525829.0,5044432.0,370362.0,244601.0,254625.0
2011-01-01,Canada,5665825.0,23728176.0,5187268.0,381869.0,246596.0,257947.0
2012-01-01,Canada,5710374.0,23874122.0,5389993.0,380323.0,252338.0,284328.0
2013-01-01,Canada,5758389.0,24024453.0,5603960.0,384100.0,258821.0,236810.0
2014-01-01,Canada,5789499.0,24144011.0,5815381.0,382392.0,264333.0,202853.0
2015-01-01,Canada,5823836.0,24218510.0,6027457.0,383102.0,269411.0,221310.0
2016-01-01,Canada,5866624.0,24292888.0,6245292.0,376291.0,277772.0,228616.0
2017-01-01,Canada,5904207.0,24361898.0,6465834.0,379358.0,286101.0,218775.0
2018-01-01,Canada,5933065.0,24423245.0,6687661.0,382681.0,294346.0,218059.0
2019-01-01,Canada,5961231.0,24473897.0,6915237.0,385471.0,302574.0,216341.0
2020-01-01,Canada,5990264.0,24507737.0,7151602.0,387543.0,306480.0,212565.0
2021-01-01,Canada,6013110.0,24542607.0,7387514.0,388802.0,310484.0,211044.0
2022-01-01,Canada,6024174.0,24569162.0,7639257.0,389212.0,314637.0,209568.0
1991-01-01,Cayman Islands,6196.0,19589.0,1729.0,520.0,128.0,769.0
1992-01-01,Cayman Islands,6463.0,20400.0,1812.0,527.0,133.0,937.0
1993-01-01,Cayman Islands,6765.0,21335.0,1906.0,531.0,149.0,911.0
1994-01-01,Cayman Islands,7052.0,22243.0,2004.0,534.0,154.0,809.0
